Time: 2026-03-09 15:24:05
Total: 35
Positive (target!=null): 30
Negative (target==null): 5

Retrieval Top1 Acc: 0.867
Retrieval TopK  Acc: 0.867
Negative Refuse Acc: 1.000

Generation Mention Rate (pos): 0.600
Generation Grounded Rate (weak): 0.833

id,query,target,retrieved_top1,retrieved_names,retrieved_scores,retrieved_cnt,answer,hit_top1,hit_topk,refuse_ok,mention_ok,grounded_ok
A01,介绍一下贾湖骨笛的故事传说,贾湖骨笛,"【展品名称】贾湖骨笛 【所属时代】新石器时代 【出土地】河南贾湖遗址 【历史意义】贾湖骨笛是中国最早的乐器之一，由鹤骨制成，距今约8000年，反映了新石器时代先民的音乐文化和艺术水平。 【补充信息】考古发现显示贾湖遗址出土多支骨笛，常见七孔形制，可演奏完整音阶，被称为""中华第一笛""。 【纹饰与造型】贾湖骨笛以实用声学结构为主，器身多为磨制抛光，重点在吹孔与指孔布局，而非复杂表面纹饰。 【历史背景】贾湖遗址同时出土稻作、家猪、龟甲刻符等遗存，显示当时已出现较复杂的聚落生活与礼仪活动，骨笛被认为与仪式和音乐实践相关。 【故事传说】8000年前的贾湖先民创造了令现代人惊叹的音乐奇迹。这些骨笛由丹顶鹤的翅骨制成，经过精心打磨钻孔，能够吹奏出完整的七声音阶。考古研究表明，部分贾湖骨笛具备较高音准，可用于复原演示早期音阶。这表明远在文字诞生之前，中国先民就已经掌握了复杂的音律知识和精湛的制作工艺。骨笛的发现改写了中国音乐史，将中国音乐文明的起源向前推进了数千年。在贾湖遗址中，骨笛多与祭祀遗迹相伴出土，说明它不仅是娱乐工具，更是沟通天地神灵的神圣礼器，反映了史前人类对声音力量的崇拜和对精神世界的追求。",贾湖骨笛,1.0000,1,8000 年前，贾湖先民创造了音乐奇迹。骨笛由丹顶鹤翅骨制成，能吹奏完整七声音阶，表明文字诞生前先民已掌握复杂音律与精湛工艺。它改写了中国音乐史，将音乐文明起源推进数千年。骨笛多与祭祀遗迹相伴，不仅是娱乐工具，更是沟通天地神灵的神圣礼器，反映了史前人类对声音力量的崇拜和精神追求。,1,1,0,0,0
A02,贾湖骨笛是如何被发现的,贾湖骨笛,"【展品名称】贾湖骨笛 【所属时代】新石器时代 【出土地】河南贾湖遗址 【历史意义】贾湖骨笛是中国最早的乐器之一，由鹤骨制成，距今约8000年，反映了新石器时代先民的音乐文化和艺术水平。 【补充信息】考古发现显示贾湖遗址出土多支骨笛，常见七孔形制，可演奏完整音阶，被称为""中华第一笛""。 【纹饰与造型】贾湖骨笛以实用声学结构为主，器身多为磨制抛光，重点在吹孔与指孔布局，而非复杂表面纹饰。 【历史背景】贾湖遗址同时出土稻作、家猪、龟甲刻符等遗存，显示当时已出现较复杂的聚落生活与礼仪活动，骨笛被认为与仪式和音乐实践相关。 【故事传说】8000年前的贾湖先民创造了令现代人惊叹的音乐奇迹。这些骨笛由丹顶鹤的翅骨制成，经过精心打磨钻孔，能够吹奏出完整的七声音阶。考古研究表明，部分贾湖骨笛具备较高音准，可用于复原演示早期音阶。这表明远在文字诞生之前，中国先民就已经掌握了复杂的音律知识和精湛的制作工艺。骨笛的发现改写了中国音乐史，将中国音乐文明的起源向前推进了数千年。在贾湖遗址中，骨笛多与祭祀遗迹相伴出土，说明它不仅是娱乐工具，更是沟通天地神灵的神圣礼器，反映了史前人类对声音力量的崇拜和对精神世界的追求。",贾湖骨笛,1.0000,1,贾湖骨笛出土于河南贾湖遗址。考古发现显示，遗址中出土多支骨笛，且多与祭祀遗迹相伴出土。这表明骨笛是于祭祀相关区域出土的。它由鹤骨制成，距今约 8000 年，被称为“中华第一笛”，反映了先民的音乐文化。,1,1,0,1,1
A03,红山文化玉龙有什么故事传说,玉龙,【展品名称】玉龙 【所属时代】新石器时代红山文化 【出土地】内蒙古红山文化遗址 【历史意义】玉龙是红山文化的重要玉器，形似龙形，被认为是中华龙文化的重要源头之一。 【补充信息】该类C形玉龙多见于红山文化高等级遗存，常被用于礼仪场景，是研究早期龙崇拜的重要材料。 【纹饰与造型】红山玉龙多为C形卷曲体态，常见吻部前伸、鬣脊起棱，整体以线面转折塑造龙的神性形象。 【历史背景】红山文化晚期社会分化明显，祭坛、女神庙与积石冢等遗迹共同表明其礼仪体系成熟，玉龙被视为权力与信仰的核心象征之一。 【故事传说】红山文化的先民将玉龙视为沟通天地的神物。C形玉龙的造型源于对自然现象的崇拜——蜿蜒的身躯象征着天空中翻滚的云龙，昂首的姿态寓意着对苍穹的仰望。考古学家发现，红山玉龙多出土于积石冢和祭坛遗址，表明它们是部落首领或祭司使用的神圣礼器。传说中，红山先民相信玉龙能够呼风唤雨、保佑部族，佩戴玉龙的人能够获得神灵的庇护。这些玉龙的制作工艺极为精湛，在没有金属工具的时代，先民们用砂绳和兽皮耐心打磨数月甚至数年，才能完成一件完美的玉龙。玉龙的出现标志着中华龙文化的萌芽，为后世龙图腾的发展奠定了基础。,玉龙,1.0000,1,红山先民视玉龙为沟通天地神物。C 形身躯象征天空翻滚云龙，昂首寓意仰望苍穹。传说玉龙能呼风唤雨、保佑部族，佩戴者可获神灵庇护。多为首领或祭司使用的神圣礼器。先民用砂绳和兽皮打磨数月甚至数年制成。玉龙标志中华龙文化萌芽，为龙图腾发展奠基。,1,1,0,1,1
A04,玉龙在红山文化中有什么象征意义,玉龙,【展品名称】玉龙 【所属时代】新石器时代红山文化 【出土地】内蒙古红山文化遗址 【历史意义】玉龙是红山文化的重要玉器，形似龙形，被认为是中华龙文化的重要源头之一。 【补充信息】该类C形玉龙多见于红山文化高等级遗存，常被用于礼仪场景，是研究早期龙崇拜的重要材料。 【纹饰与造型】红山玉龙多为C形卷曲体态，常见吻部前伸、鬣脊起棱，整体以线面转折塑造龙的神性形象。 【历史背景】红山文化晚期社会分化明显，祭坛、女神庙与积石冢等遗迹共同表明其礼仪体系成熟，玉龙被视为权力与信仰的核心象征之一。 【故事传说】红山文化的先民将玉龙视为沟通天地的神物。C形玉龙的造型源于对自然现象的崇拜——蜿蜒的身躯象征着天空中翻滚的云龙，昂首的姿态寓意着对苍穹的仰望。考古学家发现，红山玉龙多出土于积石冢和祭坛遗址，表明它们是部落首领或祭司使用的神圣礼器。传说中，红山先民相信玉龙能够呼风唤雨、保佑部族，佩戴玉龙的人能够获得神灵的庇护。这些玉龙的制作工艺极为精湛，在没有金属工具的时代，先民们用砂绳和兽皮耐心打磨数月甚至数年，才能完成一件完美的玉龙。玉龙的出现标志着中华龙文化的萌芽，为后世龙图腾的发展奠定了基础。,玉龙,1.0000,1,各位观众，玉龙在红山文化中被视为权力与信仰的核心象征之一。它是沟通天地的神物，常作为部落首领或祭司的神圣礼器。先民相信佩戴玉龙能获得神灵庇护，呼风唤雨。其造型象征对苍穹的仰望，蜿蜒身躯象征天空中翻滚的云龙，标志着中华龙文化的萌芽，是研究早期龙崇拜的重要材料。,1,1,0,1,1
A05,玉琮王的故事传说是什么,玉琮王,"【展品名称】玉琮王 【所属时代】新石器时代良渚文化 【出土地】浙江良渚遗址 【历史意义】玉琮王是良渚文化的代表性礼器，象征神权与王权，体现了史前文明高度发展的礼制文化。 【补充信息】“玉琮王”因体量大、纹饰精而得名，常见神人兽面纹，是良渚礼制与信仰体系的重要证据。 【纹饰与造型】玉琮典型结构为“外方内圆”，四角分层雕刻神人兽面纹，学界一般认为其图像与神权观念、等级秩序密切相关。 【历史背景】良渚文化晚期形成大型城址与水利系统，显示出高度组织化社会；玉琮等礼器常见于高等级墓葬，是礼制与阶层分化的重要物证。 【故事传说】良渚文化的玉琮王是神权与王权的最高象征。琮的外方内圆造型蕴含着""天圆地方""的宇宙观，被认为是沟通天地、连接神人的法器。良渚先民相信，玉琮上的神人兽面纹是他们的保护神，能够驱邪避灾、赐福降瑞。传说中，只有最高统治者才能拥有玉琮王，他们通过玉琮与神灵对话，获得治理部落的神圣权力。考古发现显示，玉琮王的制作需要数名工匠协作，耗时数年才能完成。从选料、切割、钻孔到雕刻纹饰，每一道工序都体现了良渚文明高度发达的工艺水平和宗教信仰。玉琮王的存在证明了5000年前的良渚已经形成了复杂的社会等级制度和成熟的礼制体系，是中华文明多元一体格局的重要见证。",玉琮王,1.0000,1,各位观众，玉琮王是神权与王权的最高象征，外方内圆蕴含“天圆地方”宇宙观，是沟通天地、连接神人的法器。先民相信纹饰是保护神，能够驱邪避灾、赐福降瑞。传说中，只有最高统治者才能拥有，通过它与神灵对话获得治理部落的神圣权力。制作需数名工匠协作，耗时数年。它是中华文明多元一体格局的重要见证。,1,1,0,1,1
A06,良渚先民为什么崇拜玉琮王,玉琮王,"【展品名称】玉琮王 【所属时代】新石器时代良渚文化 【出土地】浙江良渚遗址 【历史意义】玉琮王是良渚文化的代表性礼器，象征神权与王权，体现了史前文明高度发展的礼制文化。 【补充信息】“玉琮王”因体量大、纹饰精而得名，常见神人兽面纹，是良渚礼制与信仰体系的重要证据。 【纹饰与造型】玉琮典型结构为“外方内圆”，四角分层雕刻神人兽面纹，学界一般认为其图像与神权观念、等级秩序密切相关。 【历史背景】良渚文化晚期形成大型城址与水利系统，显示出高度组织化社会；玉琮等礼器常见于高等级墓葬，是礼制与阶层分化的重要物证。 【故事传说】良渚文化的玉琮王是神权与王权的最高象征。琮的外方内圆造型蕴含着""天圆地方""的宇宙观，被认为是沟通天地、连接神人的法器。良渚先民相信，玉琮上的神人兽面纹是他们的保护神，能够驱邪避灾、赐福降瑞。传说中，只有最高统治者才能拥有玉琮王，他们通过玉琮与神灵对话，获得治理部落的神圣权力。考古发现显示，玉琮王的制作需要数名工匠协作，耗时数年才能完成。从选料、切割、钻孔到雕刻纹饰，每一道工序都体现了良渚文明高度发达的工艺水平和宗教信仰。玉琮王的存在证明了5000年前的良渚已经形成了复杂的社会等级制度和成熟的礼制体系，是中华文明多元一体格局的重要见证。",玉琮王,1.0000,1,玉琮王是神权与王权的最高象征。其外方内圆造型蕴含“天圆地方”宇宙观，被视为沟通天地、连接神人的法器。先民相信琮上的神人兽面纹是保护神，能驱邪避灾、赐福降瑞。统治者通过玉琮与神灵对话，获得治理部落的神圣权力。这体现了良渚高度发达的礼制与信仰体系。,1,1,0,1,1
A07,人面形器口彩陶瓶属于什么文化,人面形器口彩陶瓶,【展品名称】人面形器口彩陶瓶 【所属时代】新石器时代仰韶文化 【出土地】甘肃地区 【历史意义】该彩陶瓶上绘有人面形图案，是仰韶文化彩陶艺术的代表作品，反映了原始宗教与审美观念。 【补充信息】该器常被用于讨论新石器时代彩陶的人像表达与祭祀象征，在同类器物中辨识度很高。 【纹饰与造型】器体以人面形器口和黑彩装饰见长，常配合几何纹带，体现仰韶系彩陶中“人物意象+抽象纹样”并置的装饰传统。 【历史背景】仰韶文化以定居农业和聚落生活为基础，彩陶广泛用于日常与礼仪场合；人面题材被普遍视为研究早期观念世界的重要线索。,人面形器口彩陶瓶,1.0000,1,这件人面形器口彩陶瓶属于新石器时代的仰韶文化。它是仰韶文化彩陶艺术的代表作品，出土地为甘肃地区。器体以人面形器口和黑彩装饰见长，常配合几何纹带，体现了仰韶系彩陶中“人物意象 + 抽象纹样”并置的装饰传统，反映了原始宗教与审美观念。,1,1,0,1,1
A08,人面形器口彩陶瓶有什么历史意义,人面形器口彩陶瓶,【展品名称】人面形器口彩陶瓶 【所属时代】新石器时代仰韶文化 【出土地】甘肃地区 【历史意义】该彩陶瓶上绘有人面形图案，是仰韶文化彩陶艺术的代表作品，反映了原始宗教与审美观念。 【补充信息】该器常被用于讨论新石器时代彩陶的人像表达与祭祀象征，在同类器物中辨识度很高。 【纹饰与造型】器体以人面形器口和黑彩装饰见长，常配合几何纹带，体现仰韶系彩陶中“人物意象+抽象纹样”并置的装饰传统。 【历史背景】仰韶文化以定居农业和聚落生活为基础，彩陶广泛用于日常与礼仪场合；人面题材被普遍视为研究早期观念世界的重要线索。,人面形器口彩陶瓶,1.0000,1,这件人面形器口彩陶瓶是仰韶文化彩陶艺术的代表作品，反映了原始宗教与审美观念。它常被用于讨论新石器时代彩陶的人像表达与祭祀象征，在同类器物中辨识度很高。其人面题材被普遍视为研究早期观念世界的重要线索，反映了仰韶文化定居农业和聚落生活基础上彩陶的日常与礼仪用途。,1,1,0,1,1
A09,后母戊青铜方鼎的发现和保护过程,后母戊青铜方鼎,"【展品名称】后母戊青铜方鼎 【所属时代】商代 【出土地】河南安阳殷墟 【历史意义】后母戊鼎是目前已知最大的青铜器之一，是商代青铜铸造技术和王权象征的重要代表。 【别名】司母戊鼎 【补充信息】后母戊鼎重约832.84公斤，出土于安阳殷墟，是商代礼制与大型青铜铸造能力的标志性实物。 【纹饰与造型】鼎身以兽面纹为主，辅以云雷纹地纹，耳部与足部装饰厚重，整体呈现商代晚期礼器的庄严气质。 【历史背景】殷墟是商王朝晚期都城遗址，祭祀活动频繁；超大型方鼎的铸成反映了成熟的分铸与合范工艺，以及王权对资源和工匠体系的强控制。 【故事传说】后母戊鼎的发现充满了传奇色彩。1939年，河南安阳武官村村民吴培文在田间无意中发现了这件重达832.84公斤的青铜巨鼎。为了保护国宝不被日军掠夺，村民们将大鼎重新埋入地下，并多次转移藏匿地点。抗战胜利后，大鼎被重新挖出，出土时有鼎耳受损，后经文物工作者修复。鼎内铭文""后母戊""表明这是商王为祭祀其母戊而铸造的礼器。专家推测，铸造这样巨大的青铜鼎需要1000公斤以上的原料，由200多名工匠协作完成，展现了商代高度发达的青铜铸造技术和严密的社会组织能力。这件国宝的发现与保护过程，也成为了中国人民守护文化遗产的动人故事。",后母戊青铜方鼎,1.0000,1,1939 年，河南安阳武官村村民吴培文在田间无意发现了后母戊鼎。为防止被日军掠夺，村民们将大鼎重新埋入地下并多次转移藏匿。抗战胜利后，大鼎被重新挖出，出土时鼎耳受损，后经文物工作者修复。这件国宝的发现与保护过程，见证了中国人民守护文化遗产的决心，充满了传奇色彩。,1,1,0,0,1
A10,后母戊青铜方鼎的发现过程,后母戊青铜方鼎,"【展品名称】后母戊青铜方鼎 【所属时代】商代 【出土地】河南安阳殷墟 【历史意义】后母戊鼎是目前已知最大的青铜器之一，是商代青铜铸造技术和王权象征的重要代表。 【别名】司母戊鼎 【补充信息】后母戊鼎重约832.84公斤，出土于安阳殷墟，是商代礼制与大型青铜铸造能力的标志性实物。 【纹饰与造型】鼎身以兽面纹为主，辅以云雷纹地纹，耳部与足部装饰厚重，整体呈现商代晚期礼器的庄严气质。 【历史背景】殷墟是商王朝晚期都城遗址，祭祀活动频繁；超大型方鼎的铸成反映了成熟的分铸与合范工艺，以及王权对资源和工匠体系的强控制。 【故事传说】后母戊鼎的发现充满了传奇色彩。1939年，河南安阳武官村村民吴培文在田间无意中发现了这件重达832.84公斤的青铜巨鼎。为了保护国宝不被日军掠夺，村民们将大鼎重新埋入地下，并多次转移藏匿地点。抗战胜利后，大鼎被重新挖出，出土时有鼎耳受损，后经文物工作者修复。鼎内铭文""后母戊""表明这是商王为祭祀其母戊而铸造的礼器。专家推测，铸造这样巨大的青铜鼎需要1000公斤以上的原料，由200多名工匠协作完成，展现了商代高度发达的青铜铸造技术和严密的社会组织能力。这件国宝的发现与保护过程，也成为了中国人民守护文化遗产的动人故事。",后母戊青铜方鼎,1.0000,1,1939 年，河南安阳武官村村民吴培文在田间无意中发现了这件青铜巨鼎。为防日军掠夺，村民们将其重新埋入地下并多次转移藏匿。抗战胜利后，大鼎被重新挖出，出土时鼎耳受损，后经文物工作者修复。这一发现与保护过程，是中国人民守护文化遗产的动人故事。,1,1,0,0,1
